[ 2012-12-06T17:05:25+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:05:25+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000661s ]
[ 2012-12-06T17:05:25+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004264s ]
[ 2012-12-06T17:05:53+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:05:53+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000735s ]
[ 2012-12-06T17:05:53+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000826s ]
[ 2012-12-06T17:06:04+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:06:04+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000675s ]
[ 2012-12-06T17:06:04+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000769s ]
[ 2012-12-06T17:15:33+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:15:33+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000781s ]
[ 2012-12-06T17:15:33+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000881s ]
[ 2012-12-06T17:15:35+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:15:35+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000680s ]
[ 2012-12-06T17:15:35+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000769s ]
[ 2012-12-06T17:16:01+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:16:01+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000655s ]
[ 2012-12-06T17:16:01+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000747s ]
[ 2012-12-06T17:16:02+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:16:02+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000561s ]
[ 2012-12-06T17:16:02+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000665s ]
[ 2012-12-06T17:17:23+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:17:23+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000950s ]
[ 2012-12-06T17:17:23+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001048s ]
[ 2012-12-06T17:18:44+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T17:18:44+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000782s ]
[ 2012-12-06T17:18:44+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000877s ]
