[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001104s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001291s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001072s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001202s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011063s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011196s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000711s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000807s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000497s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000855s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003185s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000360s ]
[ 2013-04-11T13:44:08+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.014713s ]
