[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ route_check ] --START--
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run CheckRoute Behavior [ RunTime:0.001886s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ route_check ] --END-- [ RunTime:0.001996s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ app_begin ] --START--
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001178s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001257s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_template ] --START--
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run LocationTemplate Behavior [ RunTime:0.001709s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_template ] --END-- [ RunTime:0.001804s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_parse ] --START--
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run ParseTemplate Behavior [ RunTime:0.010691s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010785s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_filter ] --START--
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run ContentReplace Behavior [ RunTime:0.001031s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run TokenBuild Behavior [ RunTime:0.001089s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000851s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run ShowRuntime Behavior [ RunTime:0.001104s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004283s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_end ] --START--
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Run ShowPageTrace Behavior [ RunTime:0.001186s ]
[ 2013-04-26T23:49:10+08:00 ] /jiasp2/Product | INFO: Tag[ view_end ] --END-- [ RunTime:0.001256s ]
